Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Carbon Stock (t/ha): tons per hectare,Cumulative / 30cm depth,,Constants,
Z.1.4,Seagrass,One Mile,Overlapping,11,16.47,50.35,33.88,50.12,33.65,0.23,2,628.3185307,86.636,0.1378854765,0.678866588,0.3530106257,0.9735007668,,,,
Z.1.6,Seagrass,One Mile,Overlapping,13,13.64,43.18,29.54,42.98,29.34,0.2,2,628.3185307,97.206,0.154708154,0.6770480704,0.3520649966,1.089346514,,,,
Z.1.8,Seagrass,One Mile,Overlapping,35,15.65,45.77,30.12,45.6,29.95,0.17,2,628.3185307,54.356,0.08651026087,0.5644090305,0.2934926959,0.5078025937,,,,
Z.1.10,Seagrass,One Mile,Overlapping,33,15.03,46.45,31.42,46.25,31.22,0.2,2,628.3185307,82.756,0.1317102647,0.6365372374,0.3309993635,0.8719202756,,,,
Z.1.20,Seagrass,One Mile,Overlapping,48,16.17,46.35,30.18,46.03,29.86,0.32,10,3141.592654,407.846,0.1298214138,1.060304838,0.5513585156,7.157814202,,,,
Z.1.30,Seagrass,One Mile,Overlapping,54,15.29,50.91,35.62,50.54,35.25,0.37,10,3141.592654,409.471,0.1303386674,1.03874228,0.5401459854,7.040190794,18.28764105,,,
Z.2.2,Seagrass,One Mile,Overlapping,29,16.55,44.61,28.06,44.16,27.61,0.45,2,628.3185307,67.536,0.1074868824,1.603706344,0.8339272986,1.792724909,,,,
Z.2.4,Seagrass,One Mile,Overlapping,31,16.3,46.19,29.89,45.8,29.5,0.39,2,628.3185307,85.966,0.1368191384,1.304784209,0.6784877886,1.856602293,,,,
Z.2.6,Seagrass,One Mile,Overlapping,60,14.98,47.51,32.53,46.93,31.95,0.58,2,628.3185307,71.576,0.1139167421,1.782969567,0.9271441746,2.112344876,,,,
Z.2.8,Seagrass,One Mile,Overlapping,3,13.34,42.01,28.67,41.36,28.02,0.65,2,628.3185307,70.236,0.1117840658,2.267178235,1.178932682,2.635717771,,,,
Z.2.10,Seagrass,One Mile,Overlapping,136,15.47,41.66,26.19,41.07,25.6,0.59,2,628.3185307,93.536,0.1488671676,2.252768232,1.171439481,3.487777549,,,,
Z.2.20,Seagrass,One Mile,Overlapping,A9,15.64,44.58,28.94,44.16,28.52,0.42,10,3141.592654,329.706,0.1049486793,1.451278507,0.7546648238,7.920107659,,,,
Z.2.30,Seagrass,One Mile,Overlapping,16,16.34,49.51,33.17,49.03,32.69,0.48,10,3141.592654,386.246,0.1229459203,1.447090745,0.7524871872,9.251522975,29.05679803,,,
Z.2.37,Seagrass,One Mile,Overlapping,1,16.34,49.78,33.44,49.36,33.02,0.42,7,2199.114858,249.786,0.1135847903,1.255980861,0.6531100478,5.192835749,,,,
Z.3.2,Seagrass,One Mile,Overlapping,A2,13.56,39.54,25.98,39.32,25.76,0.22,2,628.3185307,90.526,0.1440766038,0.8468052348,0.4403387221,1.268850152,,,,
Z.3.4,Seagrass,One Mile,Overlapping,34,12.47,43.31,30.84,43.06,30.59,0.25,2,628.3185307,86.026,0.1369146313,0.8106355383,0.4215304799,1.154273805,,,,
Z.3.6,Seagrass,One Mile,Overlapping,18,16.17,48.89,32.72,48.61,32.44,0.28,2,628.3185307,73.966,0.1177205452,0.8557457213,0.4449877751,1.04768407,,,,
Z.3.8,Seagrass,One Mile,Overlapping,12,15.71,50.37,34.66,50.08,34.37,0.29,2,628.3185307,84.076,0.13381111,0.8366993653,0.4350836699,1.164380576,,,,
Z.3.10,Seagrass,One Mile,Overlapping,15,16.03,42.89,26.86,42.59,26.56,0.3,2,628.3185307,73.046,0.1162563197,1.116902457,0.5807892777,1.350408479,,,,
Z.3.20,Seagrass,One Mile,Overlapping,29,16.54,35.63,19.09,34.99,18.45,0.64,10,3141.592654,350.706,0.1116331869,3.352540597,1.743321111,19.46124914,,,,
Z.3.30,Seagrass,One Mile,Overlapping,C3,15.67,40.44,24.77,40.11,24.44,0.33,10,3141.592654,258.256,0.08220543797,1.332256762,0.6927735164,5.694975032,,,,
Z.3.37,Seagrass,One Mile,Overlapping,38,16.06,52.25,36.19,51.9,35.84,0.35,7,2199.114858,258.256,0.11743634,0.9671179884,0.502901354,4.134122606,,,,
UB.1.2,Unveg,Myora,Nearby,11,17.57,42.01,24.44,41.86,24.29,0.15,2,628.3185307,90.496,0.1440288573,0.6137479542,0.3191489362,0.9193331317,,,,
UB.1.4,Unveg,Myora,Nearby,C25,13.25,46.97,33.72,46.8,33.55,0.17,2,628.3185307,97.526,0.1552174498,0.5041518387,0.2621589561,0.8138328922,,,,
UB.1.6,Unveg,Myora,Nearby,DC7,15,43.59,28.59,43.46,28.46,0.13,2,628.3185307,64.636,0.102871389,0.4547044421,0.2364463099,0.4864712065,,,,
UB.1.8,Unveg,Myora,Nearby,R2,14.9,46.38,31.48,46.2,31.3,0.18,2,628.3185307,102.596,0.1632866054,0.5717916137,0.2973316391,0.9710054807,,,,
UB.1.10,Unveg,Myora,Nearby,15,13.65,45.83,32.18,45.62,31.97,0.21,2,628.3185307,78.766,0.1253599825,0.6525792418,0.3393412057,0.850796152,,,,
UB.1.20,Unveg,Myora,Nearby,C3,15.68,44.48,28.8,44.25,28.57,0.23,10,3141.592654,401.426,0.1277778644,0.7986111111,0.4152777778,5.306330757,,,,
UB.1.30,Unveg,Myora,Nearby,K1,15.81,46.39,30.58,46.24,30.43,0.15,10,3141.592654,405.136,0.128958794,0.4905166776,0.2550686723,3.289334838,12.63710446,,,
UB.1.40,Unveg,Myora,Nearby,4,14.47,42.9,28.43,42.71,28.24,0.19,10,3141.592654,395.386,0.1258552727,0.6683081252,0.3475202251,4.373725269,,,,
UB.1.46,Unveg,Myora,Nearby,28,15.47,46.61,31.14,46.43,30.96,0.18,6,1884.955592,297.416,0.1577840885,0.5780346821,0.3005780347,2.845585874,,,,
UB.2.2,Unveg,Myora,Nearby,27,14.95,45.26,30.31,45.1,30.15,0.16,2,628.3185307,76.586,0.1218904047,0.5278785879,0.2744968657,0.6691706811,,,,
UB.2.4,Unveg,Myora,Nearby,50,17.26,51.37,34.11,51.19,33.93,0.18,2,628.3185307,93.47,0.1487621253,0.5277044855,0.2744063325,0.8164253843,,,,
UB.2.6,Unveg,Myora,Nearby,APO,14.45,42.22,27.77,42.03,27.58,0.19,2,628.3185307,78.066,0.1242458979,0.6841915736,0.3557796183,0.8840831624,,,,
UB.2.8,Unveg,Myora,Nearby,5,16.96,43.59,26.63,43.4,26.44,0.19,2,628.3185307,83.866,0.1334768846,0.7134810364,0.3710101389,0.9904255498,,,,
UB.2.10,Unveg,Myora,Nearby,19,14.06,42.08,28.02,41.87,27.81,0.21,2,628.3185307,70.486,0.1121819532,0.7494646681,0.3897216274,0.8743946672,,,,
UB.2.20,Unveg,Myora,Nearby,3,16.61,45.3,28.69,45.03,28.42,0.27,10,3141.592654,376.406,0.119813751,0.941094458,0.4893691182,5.863314968,,,,
UB.2.30,Unveg,Myora,Nearby,10,16.95,46.88,29.93,46.61,29.66,0.27,10,3141.592654,405.006,0.1289174138,0.9021049115,0.469094554,6.047445671,16.14526008,,,
UB.2.42,Unveg,Myora,Nearby,50,14.69,39.93,25.24,39.77,25.08,0.16,12,3769.911184,515.826,0.1368270961,0.6339144216,0.3296354992,5.412368176,,,,
UB.3.2,Unveg,Myora,Nearby,3,16.74,44.34,27.6,44.23,27.49,0.11,2,628.3185307,83.056,0.1321877295,0.3985507246,0.2072463768,0.5479085601,,,,
UB.3.4,Unveg,Myora,Nearby,15,16.43,44.51,28.08,44.39,27.96,0.12,2,628.3185307,89.566,0.1425487163,0.4273504274,0.2222222222,0.6335498504,,,,
UB.3.6,Unveg,Myora,Nearby,88,15.6,45.03,29.43,44.89,29.29,0.14,2,628.3185307,85.406,0.1359278707,0.4757050629,0.2473666327,0.6724803933,,,,
UB.3.8,Unveg,Myora,Nearby,61,16.37,47.13,30.76,46.94,30.57,0.19,2,628.3185307,74.746,0.1189619538,0.6176853056,0.3211963589,0.7642029279,,,,
UB.3.10,Unveg,Myora,Nearby,6,17.19,44.78,27.59,44.63,27.44,0.15,2,628.3185307,79.146,0.1259647713,0.5436752447,0.2827111272,0.7122328495,,,,
UB.3.20,Unveg,Myora,Nearby,17,16.97,40.38,23.41,40.22,23.25,0.16,10,3141.592654,372.126,0.1184513847,0.6834686032,0.3554036736,4.209805727,,,,
UB.3.30,Unveg,Myora,Nearby,34,16.58,49.75,33.17,49.44,32.86,0.31,10,3141.592654,384.126,0.1222711033,0.9345794393,0.4859813084,5.942147078,13.48232739,,,
UB.3.43,Unveg,Myora,Nearby,12,15.01,50.78,35.77,50.47,35.46,0.31,13,4084.07045,498.966,0.1221737005,0.8666480291,0.4506569751,7.157595941,,,,
